timestamp,magn_x,magn_y,magn_z
21312,0.39116,0.40138,0.099120006
21333,0.39116,0.40138,0.099120006
21333,0.39116,0.40138,0.099120006
21354,0.41258,0.46942002,-0.15470001
21354,0.41258,0.46942002,-0.15470001
21376,0.41258,0.46942002,-0.15470001
21397,0.40572003,0.46284002,-0.1764
21397,0.40572003,0.46284002,-0.1764
21418,0.42434,0.43414,-0.17906001
21418,0.42434,0.43414,-0.17906001
21440,0.42434,0.43414,-0.17906001
21440,0.42434,0.43414,-0.17906001
21461,0.42434,0.43414,-0.17906001
21461,0.42434,0.43414,-0.17906001
21482,0.46536002,0.38682002,-0.03794
21482,0.46536002,0.38682002,-0.03794
21504,0.40362,0.32312,0.15162
21525,0.40362,0.32312,0.15162
21525,0.40362,0.32312,0.15162
21546,0.28280002,0.27538002,0.2394
21546,0.28280002,0.27538002,0.2394
21567,0.17738001,0.2534,0.26096
21568,0.17738001,0.2534,0.26096
21589,0.17738001,0.2534,0.26096
21589,0.17738001,0.2534,0.26096
21610,0.109900005,0.24514,0.26152
21610,0.109900005,0.24514,0.26152
21632,0.05866,0.24304001,0.25046
21653,0.05866,0.24304001,0.25046
21653,0.05866,0.24304001,0.25046
21675,0.05866,0.24304001,0.25046
21675,0.05866,0.24304001,0.25046
21696,0.05866,0.24304001,0.25046
21696,0.05866,0.24304001,0.25046
21717,0.05866,0.24304001,0.25046
21717,0.05866,0.24304001,0.25046
21738,0.01302,0.24738,0.2422
21738,0.01302,0.24738,0.2422
21760,0.01302,0.24738,0.2422
21781,0.01302,0.24738,0.2422
21781,0.01302,0.24738,0.2422
21802,0.04984,0.22792001,0.24276
21803,0.04984,0.22792001,0.24276
21824,0.04984,0.22792001,0.24276
21824,0.04984,0.22792001,0.24276
21845,0.08624,0.20342,0.24276
21845,0.08624,0.20342,0.24276
21866,0.08624,0.20342,0.24276
21866,0.08624,0.20342,0.24276
21888,0.13384001,0.16282001,0.23576
21909,0.12586,0.14322,0.22596
21909,0.12586,0.14322,0.22596
21930,0.12586,0.14322,0.22596
21930,0.12586,0.14322,0.22596
21952,0.10766,0.106680006,0.20888
21952,0.10766,0.106680006,0.20888
21973,0.12194,0.063140005,0.18172
21973,0.12194,0.063140005,0.18172
21994,0.12194,0.063140005,0.18172
21994,0.12194,0.063140005,0.18172
22016,0.13678001,0.03542,0.15358001
22037,0.13678001,0.03542,0.15358001
22037,0.13678001,0.03542,0.15358001
22058,0.13062,-0.00266,0.118300006
22059,0.13062,-0.00266,0.118300006
22080,0.13062,-0.00266,0.118300006
22080,0.13062,-0.00266,0.118300006
22101,0.10066,-0.020720001,0.08904
22101,0.10066,-0.020720001,0.08904
22122,0.10066,-0.020720001,0.08904
22122,0.10066,-0.020720001,0.08904
22144,0.066080004,-0.016800001,0.075320005
22165,0.066080004,-0.016800001,0.075320005
22165,0.066080004,-0.016800001,0.075320005
22186,0.07322,-0.04284,0.030520001
22186,0.07322,-0.04284,0.030520001
22208,0.08218,-0.06426,-0.04256
22208,0.08218,-0.06426,-0.04256
22229,0.09226,-0.066640005,-0.06734
22229,0.09226,-0.066640005,-0.06734
22250,0.09226,-0.066640005,-0.06734
22250,0.09226,-0.066640005,-0.06734
22272,0.09632,-0.07168,-0.08652
22272,0.09632,-0.07168,-0.08652
22293,0.09632,-0.07168,-0.08652
22314,0.08778,-0.07336,-0.08708
22314,0.08778,-0.07336,-0.08708
22336,0.08778,-0.07336,-0.08708
22336,0.08778,-0.07336,-0.08708
22357,0.08778,-0.07336,-0.08708
22357,0.08778,-0.07336,-0.08708
22378,0.086940005,-0.07462,-0.09408
22378,0.086940005,-0.07462,-0.09408
22400,0.0973,-0.0714,-0.120120004
22400,0.0973,-0.0714,-0.120120004
22421,0.0882,-0.06958,-0.15666
22442,0.08946,-0.06916,-0.16996
22442,0.08946,-0.06916,-0.16996
22464,0.08946,-0.06916,-0.16996
22464,0.08946,-0.06916,-0.16996
22485,0.113400005,-0.049140003,-0.2254
22485,0.113400005,-0.049140003,-0.2254
22506,0.113400005,-0.049140003,-0.2254
22507,0.113400005,-0.049140003,-0.2254
22528,0.1708,-0.00238,-0.29848
22528,0.1708,-0.00238,-0.29848
22549,0.1708,-0.00238,-0.29848
22570,0.24542001,0.10486,-0.36484
22570,0.24542001,0.10486,-0.36484
22592,0.3017,0.21266,-0.37352002
22592,0.3017,0.21266,-0.37352002
22613,0.3017,0.21266,-0.37352002
22613,0.3017,0.21266,-0.37352002
22634,0.33068,0.28042,-0.35686
22634,0.33068,0.28042,-0.35686
22656,0.34566,0.28042,-0.35686
22656,0.34566,0.3136,-0.35070002
22677,0.34566,0.3136,-0.35070002
22698,0.32746002,0.37772,-0.35532
22698,0.32746002,0.37772,-0.35532
22720,0.27832,0.42196003,-0.37268
22720,0.27832,0.42196003,-0.37268
22741,0.27832,0.42196003,-0.37268
22741,0.27832,0.42196003,-0.37268
22762,0.27832,0.42196003,-0.37268
22762,0.27832,0.42196003,-0.37268
22784,0.25494,0.46312,-0.37212002
22784,0.25494,0.46312,-0.37212002
22805,0.25494,0.46312,-0.37212002
22826,0.2422,0.51576,-0.33516002
22827,0.2422,0.51576,-0.33516002
22848,0.21826,0.5628,-0.30310002
22848,0.21826,0.5628,-0.30310002
22869,0.21826,0.5628,-0.30310002
22869,0.21826,0.5628,-0.30310002
22890,0.19922,0.58002,-0.28868002
22890,0.19922,0.58002,-0.28868002
22912,0.18802,0.59948003,-0.24864
22912,0.18802,0.59948003,-0.24864
22933,0.18802,0.59948003,-0.24864
22954,0.18802,0.59948003,-0.24864
22954,0.18802,0.59948003,-0.24864
22976,0.18802,0.59948003,-0.24864
22976,0.18802,0.59948003,-0.24864
22997,0.16044,0.64246,-0.112
22997,0.16044,0.64246,-0.112
23018,0.16044,0.64246,-0.112
23018,0.16044,0.64246,-0.112
23040,0.15442,0.63546,-0.03276
23040,0.15442,0.63546,-0.03276
23061,0.1435,0.6139,0.03486
23061,0.1435,0.6139,0.03486
23082,0.1435,0.6139,0.03486
23104,0.1526,0.58506,0.09352
23104,0.1526,0.58506,0.09352
23125,0.1526,0.58506,0.09352
23125,0.1526,0.58506,0.09352
23147,0.14728001,0.54936004,0.1491
23147,0.14728001,0.54936004,0.1491
23168,0.14728001,0.54936004,0.1491
23168,0.14728001,0.54936004,0.1491
23189,0.13804,0.49742,0.19194001
23189,0.13804,0.49742,0.19194001
23210,0.10654,0.4515,0.22176
23232,0.10654,0.4515,0.22176
23232,0.10654,0.4515,0.22176
23253,0.08456,0.40852,0.23884001
23253,0.08456,0.40852,0.23884001
